id,partisan_score
7.82E+17,NA
402810340,-0.5
9.49E+17,NA
2795342280,1
491783777,0.5
8.18E+17,NA
3131529893,1
391429595,0
9.34E+17,NA
7.72E+17,NA
227849419,NA
133354942,0
735681727,1
43879871,NA
631139442,NA
9.93E+17,NA
43753976,0.918
247762193,1
608245511,1
2255130686,1
431766511,0.92
312651085,1
1320480823,1
3018963571,0.913
4244468878,1
776998171,0.918
8.11E+17,NA
1913262020,0.143
433301961,1
16481548,0.925
1078949226,0.857
63851303,0.867
466152563,1
2289423523,1
1625814116,-0.833
50948136,0.977
893034048,1
9.60E+17,NA
176119488,0.152
4812705753,NA
1123044792,NA
2952892291,0.915
1350080311,0.75
832170559,0.091
7.45E+17,NA
2398660411,0.8
45191622,1
2903825767,0.263
8.28E+17,NA
2884694243,1
2800466323,-0.111
579315942,0.8
9.56E+17,NA
24470923,1
14100537,0.333
3408756183,0.75
23962971,0.467
3006600919,NA
1057538984,0.833
8.86E+17,NA
1932684434,1
2581123969,0.926
399572379,1
231884040,-0.067
337576424,0.299
253043866,0.636
868549795,1
1060085888,1
3077435434,1
2464756524,NA
26307708,-1
1169110058,0.6
7.56E+17,NA
2842213440,1
7.22E+17,NA
4476034097,1
39686936,NA
309558781,0.667
92840551,0
538206913,NA
18608347,0.5
291176818,1
9.70E+17,NA
1040406517,1
7.97E+17,NA
2920097591,NA
31488601,-0.143
123653999,1
277431039,0.926
7.41E+17,NA
20435808,0.942
192012830,0.818
158064102,1
25300825,0.957
189806241,-0.655
586138753,1
1881202848,1
21457771,-1
3194453820,1
16039269,0.765
1219980564,1
351499769,1
235124996,1
1020301946,1
3413287791,0.833
2881352764,0.818
2938248509,0.75
3639078270,NA
527372536,0.455
173072489,0.5
894085897,1
143456066,-0.714
158123632,0
286973799,-0.333
1967288077,1
302730365,1
445191394,1
1494968155,NA
472786421,1
84043874,-1
2580626647,1
9.14E+17,NA
127172043,1
557468072,0.734
7.48E+17,NA
1105417668,0.486
186187157,0.667
3689308343,1
716055577,1
7.03E+17,NA
