"id","partisan_score","misinfo_score","misinfo_score_weighted"
7.06e+17,NA,NA,NA
159756104,1,0.453,0.411
1002002024,1,0.874,0.861
148776416,1,0.685,0.699
8.91e+17,NA,NA,NA
2450621492,NA,NA,NA
1119695227,1,0.719,0.713
254131718,1,0.783,0.783
48036425,0.889,0.7,0.677
469913850,1,0.688,0.651
372754277,0.714,0.788,0.792
2153265831,0.867,0.728,0.71
101915304,NA,NA,NA
23231925,0,0.61,0.618
2316065196,-1,0.387,0.397
35787660,1,0.728,0.669
221370027,1,0.744,0.723
571631385,NA,NA,NA
340875095,1,0.773,0.755
2681368862,1,0.795,0.799
933461486,0.882,0.63,0.628
7e+17,NA,NA,NA
67244474,-0.84,0.403,0.384
2183091302,NA,NA,NA
1582824926,NA,0.571,0.571
7.01e+17,NA,NA,NA
3899337568,1,0.691,0.707
2304766592,0.958,0.661,0.692
1499192858,0.333,0.623,0.612
8.92e+17,NA,NA,NA
1.45e+18,NA,NA,NA
8.36e+17,NA,NA,NA
1e+18,NA,NA,NA
342972141,NA,NA,NA
4196042238,NA,NA,NA
1450555226,0.939,0.703,0.7
9.22e+17,NA,NA,NA
8.26e+17,NA,NA,NA
1.16e+18,NA,NA,NA
846937712,0.96,0.698,0.699
2889274562,1,0.736,0.662
1.44e+18,NA,NA,NA
3308781515,0.778,0.733,0.73
2835059080,0.765,0.64,0.544
9.48e+17,NA,NA,NA
1194563413,1,0.743,0.751
9.43e+17,NA,NA,NA
293745266,0.867,0.648,0.709
3288601627,-0.494,0.453,0.46
9.51e+17,NA,NA,NA
23040391,0.8,0.702,0.725
238643097,1,0.65,0.701
1315921093,-0.671,0.446,0.469
9.66e+17,NA,NA,NA
479026758,1,0.702,0.758
1357916174,1,0.767,0.796
1191576006,0.5,0.732,0.781
8.32e+17,NA,NA,NA
9.52e+17,NA,NA,NA
34507278,0.429,0.597,0.584
1.29e+18,NA,NA,NA
4741770732,0.962,0.624,0.617
386007819,-1,0.43,0.475
231016300,1,0.775,0.795
1328323945,NA,0.435,0.473
2573088098,1,0.524,0.482
852919230,NA,0.586,0.589
560555551,0.136,0.571,0.582
4731588974,0.909,0.718,0.721
2873829677,0.905,0.716,0.7
369302428,1,0.735,0.858
1437010028,1,0.774,0.777
7.61e+17,NA,NA,NA
