"id","partisan_score","misinfo_score","misinfo_score_weighted"
357860827,-0.925,0.438,0.438
49389371,-0.488,0.479,0.488
229695209,-0.862,0.437,0.395
279270981,0.917,0.635,0.599
23232650,-1,0.431,0.432
3011322340,-1,0.469,0.472
1071490063,-0.817,0.426,0.415
1498560176,NA,0.375,0.342
317375275,0.769,0.629,0.607
22292787,0.774,0.665,0.718
42247052,-1,0.616,0.616
804430039,-0.765,0.442,0.438
3091880673,-1,0.397,0.419
987844879,-0.6,0.388,0.338
1308814038,-1,0.491,0.46
15577545,-0.946,0.435,0.386
8.82e+17,NA,NA,NA
39384103,-0.733,0.449,0.462
1587277334,-0.75,0.442,0.431
4697664391,-0.655,0.468,0.443
9.99e+17,NA,NA,NA
247341713,-0.152,0.488,0.503
1099290475,-0.818,0.508,0.547
355563375,0.84,0.67,0.634
1926381835,-0.83,0.436,0.442
47556937,-1,0.44,0.417
4879347977,-1,0.472,0.441
2677933872,1,1,1
1897328731,-0.8,0.413,0.448
4868688743,-0.907,0.445,0.457
179899972,0.6,0.739,0.858
8.24e+17,NA,NA,NA
114048914,-0.917,0.429,0.436
129264927,-1,0.394,0.386
7.54e+17,NA,NA,NA
21458110,-0.932,0.432,0.378
1383905040,-0.769,0.498,0.491
16316179,-0.825,0.406,0.423
1537352035,-0.898,0.439,0.449
363070453,-0.733,0.469,0.518
7.09e+17,NA,NA,NA
2378324935,-0.878,0.443,0.46
1939118838,-0.895,0.452,0.467
2598357146,-1,0.437,0.467
255807625,-0.833,0.423,0.382
41153898,-0.797,0.478,0.515
20003481,-1,0.423,0.47
572282251,-0.889,0.434,0.445
8.79e+17,NA,NA,NA
770492281,-0.333,0.545,0.649
3253228622,-0.6,0.283,0.206
140224471,1,0.739,0.743
7.96e+17,NA,NA,NA
4441986089,-0.733,0.439,0.414
192326872,1,0.663,0.715
30586620,-0.981,0.427,0.418
72994171,0.988,0.628,0.649
2905369549,-0.919,0.449,0.451
1356728540,1,0.675,0.647
2553547478,-1,0.414,0.199
710882693,-1,0.392,0.402
173242630,0.692,0.729,0.741
330145442,-0.485,0.482,0.485
3935553925,-0.619,0.457,0.477
274369575,-0.727,0.453,0.461
3380761420,NA,NA,NA
2491664966,-1,0.5,0.5
467024694,-1,0.429,0.393
362257379,0.905,0.723,0.727
564257648,1,0.778,0.765
2510918743,-0.973,0.448,0.466
67875296,-0.835,0.437,0.426
43545377,NA,0.5,0.5
446723142,0.114,0.539,0.522
8.08e+17,NA,NA,NA
1341587527,-0.143,0.525,0.494
2898210073,-1,0.471,0.476
214492262,-0.875,0.483,0.466
4296218774,-0.581,0.438,0.424
24329569,-0.6,0.435,0.374
2750341247,-0.824,0.42,0.442
263282373,-0.802,0.441,0.431
19088288,-0.975,0.422,0.425
236584290,-0.961,0.434,0.423
27493883,-0.904,0.438,0.45
388602710,-1,0.437,0.485
1345940180,-0.652,0.479,0.477
1471019448,-0.684,0.472,0.485
3834645913,-0.857,0.396,0.469
150777984,-0.875,0.477,0.492
621164749,-0.939,0.437,0.418
3428100550,-0.84,0.413,0.439
2364618936,-1,0.436,0.44
7.24e+17,NA,NA,NA
1643123766,NA,NA,NA
3035474554,0.667,0.737,0.754
820596079,-1,0.457,0.47
548757643,0.882,0.592,0.521
33734273,-0.676,0.427,0.37
495066576,-1,0.434,0.43
134971995,-0.83,0.448,0.436
271989352,-0.707,0.433,0.472
150818607,-0.5,0.62,0.644
27873469,-1,0.354,0.184
1909483010,-1,0.426,0.407
114549208,-1,0.382,0.224
16088941,-1,0.385,0.389
2853530953,-0.946,0.418,0.432
570269636,-0.872,0.425,0.427
20115368,-1,0.433,0.448
240538568,NA,NA,NA
25911963,-0.969,0.423,0.408
1149747295,-0.917,0.439,0.46
104904572,-1,0.445,0.217
1231590638,0,0.45,0.376
47799548,NA,NA,NA
9.58e+17,NA,NA,NA
7.71e+17,NA,NA,NA
78787098,-1,0.372,0.44
198416373,-0.922,0.431,0.428
634755275,0.429,0.52,0.51
291789016,-0.708,0.446,0.452
3282955777,NA,0.469,0.469
122148117,-1,0.424,0.413
2339733614,-1,0.356,0.254
555227531,0.333,0.599,0.597
324834702,-1,0.544,0.509
8.88e+17,NA,NA,NA
9.85e+17,NA,NA,NA
7.47e+17,NA,NA,NA
203232961,-1,0.332,0.381
2391585170,-0.333,0.536,0.517
2557859383,-1,0.456,0.452
3359231747,0.579,0.631,0.558
7.42e+17,NA,NA,NA
8.59e+17,NA,NA,NA
8.66e+17,NA,NA,NA
204534066,-0.678,0.455,0.449
2984843502,-0.75,0.411,0.444
1929624919,-0.662,0.452,0.471
329708303,-0.807,0.456,0.449
15587953,-0.538,0.475,0.467
19895837,-1,0.583,0.583
17849506,-0.895,0.467,0.408
2842034452,-0.91,0.449,0.435
35710323,-0.652,0.427,0.441
75118422,-0.945,0.406,0.4
880624412,-0.927,0.419,0.437
4230938057,-0.855,0.431,0.449
9.95e+17,NA,NA,NA
343096504,-0.818,0.446,0.396
267635200,-0.379,0.475,0.477
1110728904,-1,0.441,0.301
393701691,-0.852,0.445,0.486
18006752,-0.75,0.444,0.448
14944543,-0.933,0.438,0.459
8.22e+17,NA,NA,NA
634127491,1,0.839,0.842
374397850,1,0.793,0.721
86669274,-1,0.428,0.443
228736760,0.864,0.627,0.62
8.23e+17,NA,NA,NA
1369120051,0.333,0.479,0.539
8.99e+17,NA,NA,NA
378147040,-1,0.415,0.411
967356481,-0.833,0.387,0.36
2344678944,NA,NA,NA
2400916699,-0.68,0.457,0.455
7.81e+17,NA,NA,NA
578898780,-0.905,0.45,0.445
9.54e+17,NA,NA,NA
8.01e+17,NA,NA,NA
195610523,-0.439,0.466,0.46
9.76e+17,NA,NA,NA
122387014,-0.927,0.46,0.444
8.02e+17,NA,NA,NA
6107302,-1,0.408,0.407
9.15e+17,NA,NA,NA
385678932,1,0.647,0.629
7.37e+17,NA,NA,NA
866725526,1,0.761,0.774
17372783,-0.955,0.435,0.446
3573191833,-0.933,0.425,0.426
2212472492,-0.692,0.489,0.514
480875170,-1,0.436,0.424
266580278,-1,0.406,0.308
9.72e+17,NA,NA,NA
39282932,-1,0.424,0.421
439321373,NA,NA,NA
263792623,1,0.556,0.561
3128563494,-0.821,0.414,0.419
54985685,0.93,0.686,0.73
106457836,-1,0.417,0.407
316578266,-0.949,0.44,0.44
282914879,-0.667,0.293,0.321
357398717,-0.714,0.447,0.466
27255837,-0.647,0.434,0.433
2355146755,-1,0.426,0.42
1292967632,-0.964,0.448,0.437
22818501,-0.7,0.449,0.544
3340065373,-0.822,0.436,0.451
8.63e+17,NA,NA,NA
512830524,-0.943,0.437,0.433
16685803,-0.556,0.448,0.365
1056716616,-1,0.422,0.387
938717942,-0.833,0.404,0.408
2558166399,-1,0.441,0.49
2742938653,-1,0.412,0.334
4292519659,NA,NA,NA
1308959575,1,0.592,0.672
18831926,-0.834,0.44,0.443
49362055,-0.714,0.436,0.497
7.73e+17,NA,NA,NA
2190688044,-1,0.449,0.527
54886540,-0.568,0.451,0.483
389528617,-0.769,0.41,0.399
2525412733,-0.5,0.577,0.572
4730403444,-1,0.466,0.495
2391614580,-0.739,0.467,0.539
128990886,NA,NA,NA
1567517016,0.25,0.544,0.53
1101812641,-0.929,0.417,0.419
29967129,-0.896,0.422,0.431
136371438,-1,0.167,0.167
30549907,-1,0.458,0.383
529008588,-1,0.368,0.405
1557980388,0,0.562,0.569
4606518792,-0.92,0.451,0.459
902528816,-0.532,0.533,0.535
9.32e+17,NA,NA,NA
2340774583,1,0.767,0.671
15886477,-0.959,0.409,0.408
332063391,-0.6,0.373,0.382
290362175,-0.965,0.419,0.448
39015033,-0.696,0.414,0.379
2933793124,-0.636,0.456,0.483
240866456,-0.909,0.48,0.471
87983041,-0.855,0.423,0.418
32283017,-0.963,0.43,0.433
3312762027,0.692,0.645,0.646
7.28e+17,NA,NA,NA
23284066,-1,0.459,0.43
22565926,-1,0.477,0.457
1284778632,-0.917,0.382,0.372
150547537,1,0.562,0.562
1924302038,-0.804,0.445,0.449
25701565,-0.922,0.417,0.433
2930709689,NA,NA,NA
612057704,-0.952,0.424,0.428
1852375052,-0.896,0.427,0.447
3144740240,-1,0.512,0.517
43998427,-0.818,0.391,0.417
860482585,1,0.702,0.714
373888316,0.111,0.554,0.554
1266323203,-0.905,0.451,0.452
144295341,NA,NA,NA
19555923,-1,0.493,0.5
589606816,-0.944,0.427,0.436
9.89e+17,NA,NA,NA
748362288,-1,0.573,0.764
2433516463,-0.833,0.428,0.401
1723778605,0.176,0.504,0.46
1934787661,-0.939,0.414,0.427
292468351,-1,0.427,0.399
413514250,-0.739,0.444,0.433
983264047,-0.547,0.456,0.43
156735072,-0.75,0.4,0.371
2604490724,-1,0.294,0.174
1733399636,1,0.724,0.747
344164709,-0.895,0.437,0.397
240557137,-1,0.292,0.289
760337274,-1,0.44,0.471
208582717,-0.655,0.45,0.449
2192010002,0.8,0.598,0.698
51001054,NA,0.441,0.509
258741909,-0.968,0.425,0.431
232801589,-1,0.529,0.645
85821611,0.6,0.543,0.699
3505560323,-0.912,0.42,0.43
977204844,-1,0.351,0.226
2329359954,-1,0.392,0.38
605667542,-0.905,0.446,0.436
1242542678,-0.9,0.454,0.474
14465282,NA,0.2,0.2
24051315,-0.767,0.464,0.478
2797839417,0.833,0.78,0.781
8.03e+17,NA,NA,NA
760395242,-1,0.456,0.472
8.95e+17,NA,NA,NA
2510607106,-0.833,0.389,0.448
2347323266,-0.733,0.435,0.403
139398305,0.652,0.588,0.578
246667561,-0.714,0.429,0.439
425580734,-0.842,0.425,0.408
3035076004,-0.703,0.42,0.397
47096359,-0.917,0.444,0.436
8.33e+17,NA,NA,NA
180111748,1,0.716,0.757
274405808,-1,0.333,0.282
273107148,NA,0.3,0.323
1690966824,-1,0.54,0.525
8.5e+17,NA,NA,NA
385689121,-0.912,0.433,0.425
607763133,NA,0.225,0.209
608772686,-1,0.421,0.458
187836067,-0.652,0.423,0.394
48959540,NA,0.375,0.375
1164062935,-0.907,0.402,0.409
3602064317,NA,0.822,0.822
824343252,0.043,0.507,0.497
1005675566,-0.884,0.435,0.428
41441006,0.971,0.667,0.668
712852032,NA,0.84,0.84
131056491,-0.855,0.45,0.435
410572471,-1,0.402,0.431
298619241,-0.692,0.459,0.491
7.17e+17,NA,NA,NA
161452409,0.709,0.617,0.617
394245906,-1,0.423,0.426
110228223,-0.902,0.441,0.404
387164450,-0.887,0.43,0.407
19362433,0.697,0.609,0.592
250843549,-0.854,0.433,0.456
4700669963,-1,0.393,0.388
247012981,-0.896,0.421,0.387
7.2e+17,NA,NA,NA
2763527634,-1,0.448,0.445
1598812760,-0.865,0.42,0.426
1393338992,NA,NA,NA
1210098278,-0.6,0.469,0.483
100534368,-1,0.521,0.523
535833722,-1,0.441,0.429
438897163,-0.893,0.422,0.426
2414913756,-0.567,0.464,0.431
31497743,NA,0.4,0.4
631633650,-0.667,0.5,0.501
7.57e+17,NA,NA,NA
35729673,-0.77,0.424,0.44
341805227,-1,0.447,0.399
274902685,NA,NA,NA
16384055,-0.723,0.442,0.434
9.26e+17,NA,NA,NA
